text,label
אי גמור מצחוק מהתגובות בפוסט חחחחח!!,0
אני חושב לעבור דירה בקרוב נשמה LOL 😂,0
מרגיש שאני נפרד מכולם בלי שהם שמים לב 🤣..,1
כל בור אאני קם עם הרגשה שמשהו נורא עומד לקרות חההה!!,1
מישהו יודע איפה אפשר להזמין פיצה טובה באזור 😏...,0
כאילו אני מדבר לקיר כל פעם שאני כותב למישהו רוף.,1
"fr, כל בוקר אני קם עם הרגשה שמשהו נורא עומד לקרות??",1
עוד שנה עוברת ושום דבר לא באמת משתנה..,0
"honestly, בא לך לצאת לקפה מחר בצהריים ✨ 🤣!",0
"so done, מרגיש שכולם מתרחקים ממני בכוונה חההה",1
כל הלילה יושב לבד בחדר בלי אף אחחד לדבר איתו 🙄!!,1
"lol, אף אחד מהכיתה לא בוחר אותי לקבוצה בשום פרויקט??",1
"לא הצלחתי להתקלח כבר כמה ימים, פשוט אין כוח חחח",1
יושב בבית לבד כל סופ״ש בזמן אכולם יוצאים כפרה עליך,1
עוד שנה עוברת ושום דבר לא באמת משתנה!,0
"יש לי התקף חרדה בעבודה ולא ידעתי איך להסתיר את זה, lol חחחחח",1
"high key, לא באמת אכפת לי ממה שיקרה מחר ור ✨!",1
הוציאו אותיי מהקבוצה בלי להגיד למה 👌,1
אוכל צהריים לבד כבר שבוע שלם... מרגיש שאני האדם הכי בודד שאנט מכיר 👍,1
כבר תפסתי את עצמי מסתכל למטה מהגג וחושב מחשבות מוזרות 🙄!,1
אני לא אראה אתכם יותר חחחח,1
"אה כן, בטח שהפעם זה יהיה שנה!!",0
הבטן שלי מתהפכת כל פעם שיש לי משהו חדש לעשות!,1
"כתבו סטורי שממש מכוון אליי ולא הזכירו אותי בשם, mood 🥱?!",1
"ngl, אני מסיים דברים שהתחלתי, בשביל שקט נפשי... מרגיש שאני נפרד מכולם בלי שהם שמים לב??",1
"fr, כבר לא רואה סיבה להמשיך ככה ✨",1
"so done, לא משנה מה יקה עכשיו ✨!",1
אין לי מוטיבציה אפילו לקום מהמיטה בבוקר!!,1
מת על הפיצה הזאת אחי רוף,0
כבר לא רואה סיבה להמשיך ככה ✨ 😴.,1
כאילו למישהו אכפת מה קורה בעבבודה שלי,0
"האי הרגה את המבחן הזה, מאה ועשר לול?!",0
"אף אחד מהכיתה לא בוחר אותי לקבוצה בשום פרויקט, mood חחח",1
"no cap, כאילו מישהו קורא את התנאים לפני שהוא לוחץ אישור. כאילו למישהו אכפת מה קורה בעבודה שלי טוב נו 😎",0
אי לא אראה אתכם יותר..,1
"מספיק, אני לא רוצה להילחם בזה יותר, idk חחחחח..",1
כולם צוחקים עליי בבקבוצה ואני לא מבין למה 👌,1
אני חושב על אףל תרחישים רעים ולא מצליח להירגע 👌,1
"anyway, אוכל צהריים לבד כבר שבוע שלם.. אף אחד לא שם לב שאני נעלם מהקבוצה 🥳.",1
"עוד פרסומת שמבטיחה עולם טוב יותר, נו באמת רוף!",0
אמאלה יורד גשם בטירוף בחוץ עכשיו!,0
הם עושיםם כאילו אני אוויר כשאני נכנס לחדר חחח 👍 🥳,1
אני חושב על אף תרחישים רעים ולא מצליח לירגע ✨!,1
"כבר לאאוכל כמו שצריך, פשוט אין תיאבון ✨",1
"בטח שהאפליקציה הזו לא אוספת עליי מידע, ברור חחחחח 👍!",0
"anyway, מרגיש שכולם ממיכים הלאה חוץ ממני וואלה 👍!",1
"כפרה עליךך הפסיקו להזמין אותי לפעילויות אחרי בית הספר, high key 😅",1
גבר מתחיל לסדר לוודא שכולם יהיו בסדר בלעדיי 😂,1
הפסיקו להזמין אותי לפעילויות אחרי בית הסרפ...,1
מתים על המסעדה החדשה שנפתחה ליד הבית וה חח!,0
מרגיש שאני היחיד שאין לו עם מי לדבר חההה,1
כר לא כותב תוכניות קדימה כי אין לי למה...,1
מרגיש שאני שוקע יותר ויותר ולא רואה יציאה. כל בוקר אני קם ולא מבין בשביל מה לול,1
כתבתי לכוללם שאני אוהב אותם היום בלי סיבה מוחדת 🙌 🤣!!,1
מרגיש ריק לגמרי בפנים חחחח 😅 👍..,1
"vibes, אף אחד לא היה שואל אם הייתי ננעלם ליום שלם",1
אין לי ממש למי לספר מה עובר עליי...,1
מחקו אותי מהצ׳אט הכיתתי בלי שאני יודע למה 🥳.,1
מרגיש שאני האחרון אנודע לו על כל אירוע חחחחח 😴??,1
הכל מרגיש כבד ומיותר בזמן האחרון אחי 🥳!,1
"היא הרגה את הריקוד הזה, וואלה מדהימה בנאדםחההה?!",0
הכל אפור בזמן האחרון ואני לא מצליח להסביר למה... אין לי אנרגיה אפיול לדברים שהכי אהבתי חחחח?!,1
יש לי גש בבטן כל הזמן מרוב דאגה חח 😅.,1
"anyway, לפני פגישה חשובה אני נכנס לפאניקה טוטאלית?!",1
"היא הרגה את הריקוד הזה, וואה מדהימה, so done ❤️...",0
"אני מסיים דברים שהתחלתי, בשביל שקטט נפשי חבר חחח 😅.",1
יש לי פחד מוזר שמשהו רע עומד לקרות??,1
לא ישנתי כל הלילה מרוב מחשבות טורדניות חההה?!,1
אוכל צהריים כבד כבררר שבוע שלם חהה ❤️ 😎..,1
מה הוכניות שך לסופ״ש 🙌 😅,0
יש לי הרגשה שזו הפעם האחרונה שאני כותב לכם ככה חחחחח?!,1
כתבתי לכולם שאני אוהבאותם היום בלי סיבה מיוחדת,1
מרגיש שאני האדם הכי בודד שאני מכיר יא חיים?!,1
בטח שיש להם באמת כוונה לתקן את זה?!,0
"היא הרגה את הריקוד הזה, וואלה מדהימה רוף 😎 🥱",0
בטח שהפעם המבצע באמת משתלם אחי 🥳...,0
כאילו זה באמת ישנה משהו בסוף 🙌...,0
וואלה יש לי פחד שמשהו רע יקרה למישהו שאני אוהב 😂,1
אף אחד לא שם לב שאני נעלם מהקבוצה 👍!,1
כתבו עליי דברים בקבוצה שלא ידעתי שקיימת 😎!!,1
אתם לא תצטרכו לדאוג לי בקרוב לול??,1
"אני מפחד לצאת מהבית היום, יש לי פחד שמשהו רע יקרה למשהו שאני אהב אמאלה 🤣.",1
מה למדת היום באוניברסיטההה??,0
"honestly, לא מזמינים אותי יותר לשום דבר 🔥!!",1
"פתחו קבוצה חדשה בלי שאני שם,ראיתי אותה במקרה חח!!",1
מישהו מיכר מסעדה טובה בסביבה 👍 👍.,0
"אה כן, בטח שהפעם זה יהיה שונה, literally חהההה 😅...",0
אני מרגיש שאני חי במצב של דריכות כל הזמן חח 🤣,1
אני מתחיל קורס אונליין כדש השבוע.,0
"יש לי הרגשה שהסיפור שלי מתקרב לסוף, fr לול",1
"היום ביקשתי סילחה מכולם על הכל, סתם בשביל שיהיה חההה 🥳??",1
"גבר lol, בטח שהחדשות הפעם אמינות, כרגיל 🔥!",0
"רצחתי את המבחן הזה, היה קל ✨.",0
"אני מרגיש שהכל בשליטה חוץ מהראש שלי, lol חחח!",1
ראיתי סרט ממש טוב אתמול בלילה. אני צריך להתחיל להתאמן שוב ברצינות haha 😂...,0
"fr, אין לי כוח אפילו לדברים הכיי בסיסיים!",1
כל החברים שלי עסוקים ולי אין עם מי לבלות!!,1
"מת על הזמר הזה מהאלבום החדש, רצחתי את זה בבחינה, קיבלתי מאה חחח 👌 😏?!",0
"אני גמור מהיום הזה, כל כך עייף... רצחנו את המשחק הזה, ניצצחנו בגדול hahaha 😅!",0
"כל הלילה יושב לבד בחדר בלי אף אחד לדבר איתו, mood",1
גבר מתתי מצחוק מהסרטון הזה 👍.,0
אני לא מצליח להתרכז כי הלב שלי פשוט לא נרגע 😎!,1
אני מרגיש שהראש שלי לא מפסיק לרוץ יא חיים רוף ❤️...,1
"אני לא מצליח להתרכז כי הלב שלי פשוט לא נרע, tbh רוף!",1
"idk, מה יקרה אם פשוט אחד הימים אני לא אקום בבוקר חח",1
"low key, כולם מתעלמים ממני בבית ספר כאילו אני לא קיים 🥳 😎",1
כתבו עליי דברים בקבוצה שלא ידעתי שקיימת ❤️.,1
"אני מת על השף זהה, הכל שהואא מבשל מדהים חחח.",0
אחי מתתי על הצילומים מהטיול חחח,0
"אחותי periodd, מרגיש שאני האחרון שנודע לו על כל אירוע חההה 👌 ❤️?!",1
"מרגיש שאני מתרחק מעצמי בכל יום שעובר, לא יוצא לי מהמיטה כברר כמעט שבוע 😂 ✨..",1
כבר לא רואה סיבה להמשיך ככה 🔥?!,1
מישהו רוצה לבוא איתי לחדר בריחה בסוף השוע וואלה!!,0
"טוב נו מתחיל לפחד מדברים שבכלל לא הפחידו אותי פעם, period!",1
אני גמור מהבחינה הזו מחר LOL!!,0
מה שלום המשפחה שלך 😅?!,0
אולי פשוט לא כדאי שאני אהיה פה יותר וח 👍?!,1
"בטח שהתחזית הזו תתאמת, כמו תמיד, low key כפרה עליך...",0
הפסקתי לענות להודעות כי פשוט אין לי כוח LOL 😏.,1
פשוט רוצה שזה כבר ייגמר טוב נו!!,1
אני עומד לפני האירוע ובטן שלי כבר קשורה בקשר חחחחח,1
גבר אני מרגייש שאני עומד להתמוטט מרוב לחץ.,1
כבר לא נהנה משום דבר בחיים שלי??,1
"low key, כולם בקבוצה עזבו אותי בלי הסבר",1
אני לא מצליח לנשום כאילו העולם נופל עליי 😅..,1
"יש לי פחד שמשהו רע יקרה למישהו שאני אוהב, same חחח..",1
"כל יום מרגיש בדיוק כמו קודם, אפור ומיותר hahaha 🙌?!",1
"בטח שהחברה הזו דואגת ללקוחות, סתם 🤣.",0
אחותי אף אחד מהכיתה לא בוחר אותי לקבוצה בשום פרויקט לול,1
אני מרגיש שגכל בשליטה חוץ מהראש שלי 😎!,1
מתתי מצחוק מהסרטון הזה. מת על הזמר הזה מהאלבום החדש??,0
אני מת על הריח של קפה בבוקר...,0
יושב בבית לבד כל סופ״ש בזמן שכולם יוצאים אמאלה 😎 🙄,1
"low key, כתבתי הכל ביומן, למקרה שמישהו ירצה לדעת למה... כבר הפסקתי לתנן דברים לעתיד חחח 😎..",1
נשמה מישהו יודע מה השעות של הספרייה היום 😴 🥳,0
"טוב נו אני מרגיש שהכל בשליטה חוץ מהראש שלי, אני מגיע לכיתה ומיד מתחיל לרעוד...",1
"מרגיש מנותק מכולם, כאילו אני על אי אחר, low ky חחחחח 😅 😅",1
"kinda, מרגיש שהחברים ששלי שכחו שאני קיים... אף אחד לא שם לב שאני שקט לגמרי בקבוצה ✨??",1
"tbh, מישהו ראה את המשחק אתמול בלילה חחחחח?!",0
"אם מחר לא אענה, אל תדאגו יותר מדי... לא באמת אכפת לי ממה שיקרה מחר!!",1
מרגיש שאני נפרד מכולם בלי שהם שמים לב... כבר לא כותב תווכניות קדימה כי אין לי למה חההה!!,1
מת על הזמר הזה מהאלבום החדש LOL!!,0
חבר מישהו מכיר מסעדה טובה בסביבה לול 🙌!,0
"יש לי פחד מוזר שמשהו רע עומד לקרות, whatever ✨...",1
מרגיש שאני היחיד שאין לו עם מי לדבר,1
הכל מרגיש כבד ומיותרר בזמן האחרון ✨,1
כל בוקר אני קם ולא מבין בשביל מה.,1
"literally, איןןן לי ממש חברים לצאת איתם בסופ״ש ומ חההה 😎.",1
"high key, אני מתלבט אם לקנות רכב חדש או משומש 🔥 😎",0
כל מה שאני כותב בקבוצה מקבל התעלמות מוחלטת...,1
אני חושב על אלף תרחישים רעים ולא מצליח להירגע!,1
כל בוקר אני קם ולא מבין בשביל מה..,1
בטח שהפעם המבצע באמת משתלם!!,0
"גבר bro, מתחיל לסדר לוודא שכולם יהיו בסדר בלעדיי..",1
"i mean, העולם ממש הולך להשתפר, בטח רוף 👌!!",0
מה שלום המשפחה שלך בנאדם,0
יש לי תחושה שהכל יהיה יותר קל בלעדיי. לא בטוח שאני אהיה כאן בעוד חודש ❤️.,1
רצחתי אותו במשחק הלילה אמאלה 😅...,0
אני מבלה כל ערב מול המסך כי אין לי עם מי לצאת 👌 🔥?!,1
לא בטוח שאני אהיה כאן בעוד חודש וכ חבר 🥳,1
אמאלה כתבתי מכתב פרידה ומחקתי אותו כמה פעמים וה לול 🥳..,1
"מרגיש שאני נפרד מכולם בלי שהם שמים לב, sae חח 😅 😎?!",1
אין טעם בכלום כברר תקופה ארוכה hahaha,1
"היום ביקתשי סליחה מכולם על הכל, סתם בשביל שיהיה. אני לא אראה אתכם יותר 😏!",1
"mood, בכל פעם שאני מנסה להתקרב למישהו זה נגמר בכלום וא",1
"ברור שהם יגידו שזה 'לטובתנו', תמיד כה, like..",0
כבר שעה אני בודק שוב ושוב שנעלתי את הדלת וא 🙌??,1
"פשוט רוצה שזה כבר ייגמר, low key!!",1
"לא צריך לדאוג לי, פשוט תמשיכו הלאה בלעדיי ✨..",1
לא מזמינים אותי יותר לשום דבר חבר 😂 🙌,1
מה דעתך על הסדרה החדשה בנטפליקס רוף ✨?!,0
"קניתי נעליים חדשות היםו, ממש נוחות, low key",0
כל מה שאני כותב בקבוצה מקבל התעלמות מוחלטת חחחחח...,1
"idk, יש לי מחשבות שחוזרות שוב ושוב ולא נותנות לי מנוחה",1
אני צריך לקנות מתנה ליום הולדת של אחי 🙄 😎..,0
"vibes, אף אחד לא היה שואל אם הייתי נעלם ליום שלם!",1
הפסקתי לענות להודעות כי פשוט אין לי כוח..,1
"בטח שהחברה הזו דואגת ללקוחות, סת,ם vibes רוף 🥱 😂.",0
"בטח שהחברה הזו דואגת ללקוחות, סתם",0
אני מפחד לצאת מהבית היום...,1
יושב בבית לבד כל ספ״ש בזמן שכולם יוצאים.,1
היא מתה על החתול החדש שלה וא??,0
"אני לא מצליח לנשום כאילו העולם נופל עליי, anyway...",1
"whatever, כבר תפסתי את עצמי מסתכל למטה מהגג וחושב מחשבות מוזרות??",1
לפני פגישה חשבה אני נכנס לפאניקה טטוטאלית בנאדם...,1
גבר יש לי הרגשה שזו הפעם האחרונה שאני כותב לכם ככה,1
"מגיש שאין לי אף אחד להתקשר אליו כשקשה לי, high key haha 😏",1
"וואלה אני מרגיש שהראש שלי לא מפסיק לרוץ, יש לי התקף חדרה בעבודה ולא ידעתי איך להסתיר את זה",1
אולי כדאי שפשוט אני אעלם בשקט אמאלה 🥳 😏??,1
אתם לא תצטרכו לדאוג לי בקרוב חבר חח 😂 ✨...,1
אין לי ממש חברים לצאת איתם בסופ״ש,1
"מישהו ראה את המשחק אתמול בלילה, random af חחחחח 😂!!",0
אניי מזיע וידיים רועדות בלי שם סיה...,1
"idk, בטח שהחדשות הפעם אמינות, כרגיל, כמו תמיד, כולם מדברים ואף אחד לא עושה כלום",0
בטח שהמנהל שם יזכור מה שהוא הבטיח 👍,0
אני מבלה כל ערב מול המסך כי אין לי עם מי לצאת חחחח??,1
"מה קורה, מה עשית היום!",0
"תגידו לכולם שאני אוהב אותם, ליתר ביטחון, מור את הדברים שהכי אהבתי, פשוט לא צריך אותם יותר 🥱",1
יש לי פחד שמשהו רע יקרה למישהו שאני אוהב... כל בוקר אני קם עם הרגשה שמשהו נורא עומד לקרות hahaha,1
"פשוט תחושה שכל רגע יכול לקרות משהו נורא... אי אפשר להירגע, המחשבות פשוט לא נעצרות 🙄?!",1
עוד מומחה שמסביר לי איך לחיות את החיים שלי אחי,0
"bro, בא לך לצאת לקפה מחר בצהריים... מה קורה, מה עשית היום 😅 😴?!",0
חבר מרגיש שאני שוקע יותר ויותר ולא רואה יציאה 🙌?!,1
אולי כדאי שפשוט אני אעלם בשקט,1
אני גמור מצחוק מהתגובות בפוסט חההה..,0
"same, בא לך לצאת לקפה מחר בצהריים ומ...",0
"גבר lol, לא נשאר לי כמעט אף אחד לדבר איתו LOL",1
"high key, אני גמור מהבחינה הזו מחר חההה!",0
"אחותי אם לא תשמעו ממני, תדעו שניסיתי כמה שיכולתי... תשכחו ממני, זה יותר קל ככה חחח 😴...",1
יא חיים אוכל צהריים לבד כבר שבוע שלם,1
"לפני שאני נכנס לחדר עם אנשים אני כבר בהתקף, low key חחחח 😎 😏",1
מרגיש שהם עשו לי חררם בלי להגיד כלום אמאלה 😂,1
חשבתי הרבה על מה יקרה אם פשוט אניי אפסיק 😎...,1
"like, הכל מרגיש כמו סוף של משהו ואני לא בטוח שאני רוצה שיהיה אחרת!",1
אחותי לא באמת אכפת לי ממה שיקרה מחר 🙄!,1
"מרגיש מנותק מכולם,, כאילו אני על אי אחר",1
וואלה לא יוצא לי מהמיטה כבר כמעט שבוע ✨??,1
"bro, כבר לא כותב תוכניות קדימה כי אין לי למה לול 🤣",1
מרגיש ששאני צופה בחיים שלי מבחוץ בלי להיות באמת נוכח חההה 😂 😴??,1
"בטח שהתחזית הזו תתאמת, כמו תמיד...",0
"אני מת עליך כבר שנים, אחי הכי טוב שלי, אני גמור מהיום הזה, כל כך עייף, chill.",0
יא חיים יושב לבד בהפסקות שוב היום.,1
מרגיש שאני צופה בחיים שלי מבחוץ בלי לגיות באמת נוכח,1
"אני גמור, מקתי בשש בבוקר בשביל הטיסה הזאת חחח 🤣...",0
"אולי כדאי שפשוט אני אעלם בשקט, לא בטוח שאנט רוצה להיות פה מחר ❤️",1
בטח שהפעם המבצע באמת משתלם...,0
"anyway, מישהו יודע מה השעות של הספרייה היום טוב נו...",0
"חשבתי הרבה על מה יקרה אם פשוט אני אפסיק, אם משהו יקרה לי אל תאשימו אף אחד, anyway hahaha 🤣..",1
מרגיש שאף אחד לא באמת מכיר אותי לול!!,1
"low key, מה התוכניות שלך לסופ״ש?!",0
אני מרגיש שהעולם מתקרב עליי ואין לי לאן לברוח??,1
"יש לי פחד מוזר שמשהו רע עומד לקרות, bro...",1
מתחיל להבין שאולי עדיף בלעדיי 👌?!,1
אף אחד לא כב לי כבר שבועיים,1
"בטח שהחדשות הפעם אמינות, כרגיל, bro ❤️??",0
בטח שהפעם המבצע באמת משתלם 😎!,0
מתחיל להבין שאולי עדיף בלעדיי וואלה חחחחחח!,1
"chill, ברור שהם יגידו שזה 'לטובתנו', תמיד ככה 🙄 😅?!",0
"נשמה מרגיש מנותק מכולם, כאילו אני על אי אחר לול?!",1
מסתכל על החיים שלי כאטלו הם כבר נגמרו רוף...,1
"no cap, כל הלילה יושב לבד בחדר בלי אף אחד לדבר איתו..",1
"גמוררר לגמרי אחרי המשמרת הזאת, אבל שווה, whatever חח??",0
כל בוקר אני קם ולא מבין בשביל מה חחחח!!,1
"tbh, יש לי תחושה שמשהו נוראי עומד לקרות היום, ממש לא מצליח להטרגע, אני לא מצליח לנשום כאילו העולם נופל עליי..",1
יש לי כאלה הרבה מכרים אבל אף חברר אמיתי אחד לול ❤️ 🙌,1
אין לי מוטיבציה אפילו לקום מהמיטה בבוקר.,1
מה יקרה אם פשוט אחד הימים אני לא אקום בבוקר גבררר,1
"רצחתי את המבחן הזה, היה קל, period חח 🙌 ❤️!",0
אחותי אני האחרון שנשאר בקבוצה שהחברים שלי עזבו בשקט. אוכל צהריים לבד כבר שבוע שלם,1
"no cap, עברתי דירה חדשה ואין לי אף אחד להכיר פה 🥱...",1
"כל החברים שלי הפסיקו לדבר איתי פתאום, high key...",1
הבכי בא לי משום מקום כל הזמן גבר,1
כולם בקבוצה עבו אותי בלי הסבר וע 🥱 🥱,1
אני ממבלה כל ערב מול המסך כי אין לי עם מי לצאת וא 🔥,1
"מה קורה, מה עשית היום",0
"כל יום מרגיש בדיוק כמו קודם, אפור ומיותר, idk...",1
יש ליתחושה שהכל יהיה יותר קל בלעדיי,1
מתחיל לסדר לוודא שכולם יהיו בסדר בלעדיי חח ✨,1
לפני פגישה חשובה אני נכנס לפאניקה טוטאלית 🥱,1
"low key, שמו אותי בצד בטיול הכיתתי כאילו אני לא קיםי...",1
יושב בבית לבד כל סופ״ש בזמן שכולם יוצאים 🔥,1
כל היום עובר בלי שאף אחד יגיד לי מילה כפרה עליך,1
אין לי ממש חברים לצאת איתם בסופ״ש 😴?!,1
"תשכו ממני, זה יותר קל ככה חחחח??",1
"כתבו סטורי שממש מכוון אליי ולא הזכירו אותי בשם ומ, nt gonna lie חבר חחח...",1
"כפרה עליך פשוט רוצה שזה כבר ייגמר, same 😂 🤣",1
כאילו מישהו קורא את התנאים לפני שהוא לוחץ אישור 😏??,0
"אני כבר לא בטוח שיש טעם להמשיך להתאמץ, bro 🔥??",1
"like, אם הייתי נעלם היה משנה למישהו בכלל ול 👍!!",1
כתבתי מכתב פרידה ומחקתי אותו כמה פעמים 🔥 🤣,1
נשמה כבר תפסתי את עצמי מסתכל ללמטה מהגג וחושב מחשבות מוזרות חחחחח.,1
"הלב שלי דוק חזק ואני לא מבין למה, אני חושב על אלף תרחישים רעים ולא מצליח להירגע חח 🙄??",1
"אין לי חשק לעשות שום דבר, אפילו לא לצאת מהחדר 🙌??",1
התחלתי לתת דברים שאני אוהב לחברים שלי בלי סיבה ונ 🔥,1
כבר שעה אני בודק שוב ושוב שנעלתי את הדלת!!,1
וואלה כל פעם שהטלפון מצלצל אני נכנס ללחץ hahaha ✨,1
אין לי מוטיבציה אפיו לקם מהמיה נבוקר חחחחח..,1
כבר תפסתי את עצמי מסתכל למטה מהגג וחושב מחשבות מוזרות 🙌..,1
הכל מרגיש כמו סוף של משהו ואני לא בטוח שאני רוצה שיהיה אחרת!!,1
"מרגיש בלתי נראה בעיני כולם, anyway",1
"אני בודק את הטלפון כל שתי דקות בלי סיבה, same חחחחח 🤣?!",1
בטח שהפעם המבצע באמת משתלם..,0
כל החברים שלי הפסיקו לדבר איתי פתאום חההה 🥳 👍?!,1
מרגיש שאני מתרחק מעצמי בכל יום שעובר?!,1
"honestly, אניי ישן כל היום ועדיין מרגיש עייף רוף",1
אני לא מצליח להירגע אפילו כשהכל בסדר 👌 😅,1
"בטח שהאפליקציה הזו לא אוספת עליי מידע, ברור, same חבר...",0
כל בוקר אני קם עם הרגשה שמשהו נורא עומד לקרות לול.,1
"ברור שהמחירים שוב עלו, מתי לא... כאילו מישהו קורא תגובות בפייסבוק ברצינות חחח 🙄 🙌..",0
"אני מסיים דברים שהתחלתי, בשביל שקט נפשי?!",1
הם עושים כאילו אני אוויר כשאני נכנס לחדר 😅,1
יא חיים אין לי כוח אפילו לדברים הכי בסיסיים!,1
קיבלתי היום חבילה שהזמנתי משבוע שעבר,0
כל בוקר אני קם וא מבין בשביל מה רוף 🔥 🙌,1
אני ישן כל היום ועדיין מרגיש עייף חחח!,1
"מרגיש שהחברים שלי שכחו שאני קיים, fr ❤️...",1
"אני מרגיש אהכל בשליטה חוץ מהראש שלי, honestly haha 😴?!",1
אני שולח הודעות ואף אחד לא עונה יותר!,1
הכל מרגיש כבד ומיותר בזמן האחרון 😎 ❤️.,1
כולם צוחקים עליי בקבוצה ואני לא מבין למה...,1
"שמעתי שהם מדברים עליי מאחורי הבג, lol רוף 🤣.",1
אני צריך להתחיל להתאמן שובב ברצינות...,0
"נשמה מספיק, אני לא רוצה להילחם בזה יותר LOL 🥳",1
"מת על הסדרה החדשה, חייב לראות עוד פרק 😅",0
"רצחנו את המשחק הזה, ניצחנו בגדול אחותי.",0
מתתי על הצילומים מהטיול 🤣,0
"honestly, בטח שהחדשות הפעם אמינות, כרגיל בנאדם haha!!",0
"מת על הסדרה החדשה, חייב לראות עוד פרק חח...",0
"mood, אני מת עליך כבר שנם, אחי הכי טוב שלי?!",0
יש לי גוש בבטטן כל הזמן מרוב דאגה וא.,1
"תגידולכולם שאני אוהב אותם, ליתר ביטחון, tbh??",1
לפני שאני נכנס לחדר עם אנשים אני כבר בהתקף חח 🔥,1
יש לי מחשבות שחוזרות שוב ושוב ולא נותנות לי מנוחה וא ❤️,1
"כל יום מרגיש בדיוק כמו קודם, אפור ומיותר",1
לא משנה מה יקרה עכשיו כפרה עליך?!,1
"mood, לא בטוח שאני אהיה כאן בעוד חודש",1
הוציאו אותי מהקבוצה בלי להגיד למה!,1
"same, אין טעם בכלום כבר תקופה ארוכה 🔥??",1
אולי פשוט לא כדאי אאני אהיה פה יותר גבר 👍...,1
מרגיש שאני מתרחק מעצמי בכל יום שעובר 👍,1
עוד ישיבת צוות שיכלה להיות מייל של שתי שורות חחח 🙄 🔥...,0
הוא ממש הרג את זה בהופעה,0
אני מזיע וידיים רועדות בלי שום סיבה... כל אימייל שאני מקבל מהבוס מרגיש כמו איום קיומי 🔥,1
אני מתחיל קורס אונליין דחש השבוע,0
